,name,id,artist,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
89,Dirty Sexy Money (feat. Charli XCX & French Montana),0tPQPaOKM32WgMSbPCYyRH,David Guetta,big room,0.0789,0.721,0.873,0.0,0.0824,-4.741,0.119,79.943,0.552
90,Rain Sky Samples 1,6xIpFNG8oUqoclkjMLEhKu,X.L.T,rain,0.131,0.348,0.99,0.918,0.408,-24.44,0.0363,50.866,0.0107
91,Candle,0XNu9Mqd7TLnKRNVHpe6T5,Quinn XCII,electropop,0.124,0.77,0.703,0.0,0.0626,-6.032,0.0358,94.959,0.873
92,One X,2kcbSjvCyeryZVfgvdt4FQ,Three Days Grace,alternative metal,0.00391,0.525,0.674,0.0,0.119,-4.545,0.0382,126.973,0.319
93,Old Town Road - Remix,6jmZlyf9DxcIoRrjw02YXm,Lil Nas X,lgbtq+ hip hop,0.0576,0.891,0.503,0.0,0.0763,-5.777,0.226,136.009,0.674
94,Know You (feat. S-X & A1 x J1),71MckCPHdzU05Huo9Rmtvr,KSI,uk hip hop,0.0573,0.535,0.699,0.0,0.13,-5.576,0.285,99.771,0.222
95,Sun Doesn't Rise,24CeaRaJHiMKFAVZTCu8Y0,Mushroomhead,alternative metal,8.82e-05,0.376,0.988,6.36e-05,0.346,-2.375,0.216,192.153,0.507
96,So Will I (100 Billion X) - Live,4sB4BfFmlQeG7tM6GLvN5j,Hillsong Worship,ccm,0.00568,0.308,0.581,0.0,0.698,-8.509,0.0338,127.233,0.103
97,COWBOY BLUEBALLS,46V6F3rGklwKERpY9NzTGX,Softwilly,meme rap,0.104,0.423,0.829,0.0,0.127,-6.182,0.325,155.164,0.64
98,Hurry,3z2xfGLpTGyB4qBfV88kgf,DIRTY X BUNNY,,0.695,0.689,0.489,3.16e-06,0.141,-10.555,0.0974,149.925,0.554
99,Islands,6i5tYaGlOFDLILEB6HfJAa,The xx,downtempo,0.74,0.871,0.472,0.269,0.145,-11.077,0.0756,124.04,0.707
100,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,Drake,canadian hip hop,0.0891,0.585,0.909,9.7e-05,0.119,-6.474,0.0707,93.372,0.758
101,All I Want,0NlGoUyOJSuSHmngoibVAs,Kodaline,irish pop,0.174,0.188,0.411,0.153,0.0843,-9.733,0.0484,187.376,0.159
102,Look Who’s Inside Again,7d8dqy6GbiUqotcTSs0jXg,Bo Burnham,comic,0.761,0.643,0.331,0.0,0.373,-9.235,0.0387,160.006,0.648
103,HOT WIND BLOWS (feat. Lil Wayne),3JJL91ilRV6fXhKqu0FGXs,"Tyler, The Creator",hip hop,0.601,0.371,0.75,0.0,0.482,-5.382,0.402,173.456,0.729
104,Flashing Lights,31I3Rt1bPa2LrE74DdNizO,Kanye West,chicago rap,0.0381,0.639,0.628,0.0,0.386,-7.578,0.0399,90.482,0.43
105,OUT WEST (feat. Young Thug),6gi6y1xwmVszDWkUqab1qw,JACKBOYS,rap,0.0104,0.802,0.591,0.0,0.196,-4.895,0.225,139.864,0.309
106,Runnin' Thru the 7th with My Woadies,1tm7c4V0kqLiN0XPVnoUcT,$uicideboy$,dark trap,0.0656,0.686,0.621,0.000221,0.139,-7.243,0.187,112.082,0.187
107,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,Morgan Wallen,contemporary country,0.657,0.631,0.591,0.0,0.11,-5.785,0.0277,97.074,0.489
108,WITHOUT YOU (with Miley Cyrus),1EHUQesfVKwbthtNcpBi9g,The Kid LAROI,australian hip hop,0.173,0.655,0.469,0.0,0.0956,-6.257,0.0292,92.56,0.467
109,What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,One Direction,boy band,0.009,0.726,0.787,0.0,0.0596,-2.494,0.0737,124.99,0.888
